ian@ian-HP-Stream-Laptop-11-y0XX:~/knuth-elevator/main$ ls
knuthElevator.go
ian@ian-HP-Stream-Laptop-11-y0XX:~/knuth-elevator/main$ go run knuthElevator.go
TIME	STATE	FLOOR	D1	D2	D3	step	action
0000	N	2	0	0	0	U1	User 1 arrives at floor 1, destination is 2.
0000	N	2	0	0	0	U2	User 1 presses up button.
0000	D	2	0	0	0	U3	User 1 stands in queue in front of elevator.
0020	D	2	0	0	0	E6	Elevator about to go down
0035	D	2	0	0	0	E8	Elevator moving down
0119	D	1	0	0	0	E2	Elevator stops.
0119	N	1	0	0	0	E3	Elevator doors start to open.
0139	N	1	X	X	0	E4	Doors are open. Users about to enter.
0139	N	1	X	X	0	U5	User 1 gets in.
0164	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
0164	U	1	0	X	X	E5	Elevator doors start to close.
0184	U	1	0	X	0	E6	Elevator about to go up
0199	U	1	0	X	0	E7	Elevator moving up
0264	U	2	0	X	0	E2	Elevator stops.
0264	N	2	0	X	0	E3	Elevator doors start to open.
0284	N	2	X	X	0	E4	Doors are open. Users about to exit.
0284	N	2	X	X	0	U6	User 1 gets out, leaves the system.
0309	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
0340	N	2	0	X	X	E5	Elevator doors start to close.
0360	N	2	0	X	0	E6	Elevator about to go dormant
0360	N	2	0	X	0	E1	Elevator dormant
0463	N	2	0	X	0	U1	User 2 arrives at floor 3, destination is 2.
0463	N	2	0	X	0	U2	User 2 presses down button.
0463	U	2	0	X	0	U3	User 2 stands in queue in front of elevator.
0483	U	2	0	X	0	E6	Elevator about to go up
0498	U	2	0	X	0	E7	Elevator moving up
0563	U	3	0	X	0	E2	Elevator stops.
0563	N	3	0	X	0	E3	Elevator doors start to open.
0583	N	3	X	X	0	E4	Doors are open. Users about to enter.
0583	N	3	X	X	0	U5	User 2 gets in.
0608	D	3	X	X	0	E4	Doors are open. Nobody outside elevator.
